bin_count,bin_freq,bin_range,bin_number
48,0.25263157894736843,"(-0.114, 0.0672]",9
33,0.1736842105263158,"(0.0672, 0.248]",10
21,0.11052631578947368,"(0.248, 0.429]",11
21,0.11052631578947368,"(-0.294, -0.114]",8
19,0.1,"(-0.475, -0.294]",7
10,0.05263157894736842,"(-0.656, -0.475]",6
8,0.042105263157894736,"(0.609, 0.79]",13
7,0.03684210526315789,"(-1.017, -0.837]",4
6,0.031578947368421054,"(0.429, 0.609]",12
5,0.02631578947368421,"(-0.837, -0.656]",5
3,0.015789473684210527,"(1.332, 1.513]",17
2,0.010526315789473684,"(-1.198, -1.017]",3
2,0.010526315789473684,"(-1.56, -1.379]",0
1,0.005263157894736842,"(-1.379, -1.198]",18
1,0.005263157894736842,"(1.694, 1.875]",14
1,0.005263157894736842,"(1.513, 1.694]",2
1,0.005263157894736842,"(0.79, 0.971]",1
1,0.005263157894736842,"(-1.74, -1.56]",19
0,0.0,"(0.971, 1.152]",15
0,0.0,"(1.152, 1.332]",16
