bin_count,bin_freq,bin_range,x_value,bin_number
2,0.0028129395218002813,"(-2.748, -2.469]",-2.748,1
2,0.0028129395218002813,"(-2.469, -2.19]",-2.469,2
4,0.005625879043600563,"(-2.19, -1.911]",-2.19,3
3,0.004219409282700422,"(-1.911, -1.632]",-1.911,4
5,0.007032348804500703,"(-1.632, -1.352]",-1.632,5
9,0.012658227848101266,"(-1.352, -1.073]",-1.352,6
21,0.029535864978902954,"(-1.073, -0.794]",-1.073,7
47,0.06610407876230662,"(-0.794, -0.515]",-0.794,8
72,0.10126582278481013,"(-0.515, -0.235]",-0.515,9
227,0.31926863572433195,"(-0.235, 0.0438]",-0.235,10
162,0.22784810126582278,"(0.0438, 0.323]",0.0438,11
73,0.10267229254571027,"(0.323, 0.602]",0.323,12
44,0.06188466947960619,"(0.602, 0.881]",0.602,13
14,0.01969057665260197,"(0.881, 1.161]",0.881,14
15,0.02109704641350211,"(1.161, 1.44]",1.161,15
4,0.005625879043600563,"(1.44, 1.719]",1.44,16
2,0.0028129395218002813,"(1.719, 1.998]",1.719,17
2,0.0028129395218002813,"(1.998, 2.278]",1.998,18
2,0.0028129395218002813,"(2.278, 2.557]",2.278,19
1,0.0014064697609001407,"(2.557, 2.836]",2.557,20
