bin_count,bin_freq,bin_range,x_value,bin_number
1,0.02564102564102564,"(-2.708, -2.48]",-2.708,1
0,0.0,"(-2.48, -2.252]",-2.48,2
0,0.0,"(-2.252, -2.024]",-2.252,3
0,0.0,"(-2.024, -1.796]",-2.024,4
0,0.0,"(-1.796, -1.568]",-1.796,5
1,0.02564102564102564,"(-1.568, -1.34]",-1.568,6
1,0.02564102564102564,"(-1.34, -1.112]",-1.34,7
2,0.05128205128205128,"(-1.112, -0.884]",-1.112,8
0,0.0,"(-0.884, -0.656]",-0.884,9
6,0.15384615384615385,"(-0.656, -0.428]",-0.656,10
7,0.1794871794871795,"(-0.428, -0.201]",-0.428,11
4,0.10256410256410256,"(-0.201, 0.0274]",-0.201,12
2,0.05128205128205128,"(0.0274, 0.255]",0.0274,13
6,0.15384615384615385,"(0.255, 0.483]",0.255,14
1,0.02564102564102564,"(0.483, 0.711]",0.483,15
2,0.05128205128205128,"(0.711, 0.939]",0.711,16
2,0.05128205128205128,"(0.939, 1.167]",0.939,17
2,0.05128205128205128,"(1.167, 1.395]",1.167,18
0,0.0,"(1.395, 1.623]",1.395,19
2,0.05128205128205128,"(1.623, 1.851]",1.623,20
