bin_count,bin_freq,bin_range,x_value,bin_number
1,0.005235602094240838,"(-2.194, -2.01]",-2.194,1
0,0.0,"(-2.01, -1.826]",-2.01,2
0,0.0,"(-1.826, -1.642]",-1.826,3
1,0.005235602094240838,"(-1.642, -1.458]",-1.642,4
0,0.0,"(-1.458, -1.274]",-1.458,5
2,0.010471204188481676,"(-1.274, -1.091]",-1.274,6
3,0.015706806282722512,"(-1.091, -0.907]",-1.091,7
1,0.005235602094240838,"(-0.907, -0.723]",-0.907,8
8,0.041884816753926704,"(-0.723, -0.539]",-0.723,9
6,0.031413612565445025,"(-0.539, -0.355]",-0.539,10
19,0.09947643979057591,"(-0.355, -0.171]",-0.355,11
44,0.23036649214659685,"(-0.171, 0.0126]",-0.171,12
65,0.3403141361256545,"(0.0126, 0.196]",0.0126,13
18,0.09424083769633508,"(0.196, 0.38]",0.196,14
9,0.04712041884816754,"(0.38, 0.564]",0.38,15
3,0.015706806282722512,"(0.564, 0.748]",0.564,16
5,0.02617801047120419,"(0.748, 0.932]",0.748,17
3,0.015706806282722512,"(0.932, 1.116]",0.932,18
2,0.010471204188481676,"(1.116, 1.3]",1.116,19
1,0.005235602094240838,"(1.3, 1.484]",1.3,20
