bin_count,bin_freq,bin_range,bin_number
6,0.16666666666666666,"(0.0894, 0.217]",7
5,0.1388888888888889,"(0.217, 0.345]",8
5,0.1388888888888889,"(-0.166, -0.0383]",5
5,0.1388888888888889,"(-0.0383, 0.0894]",6
2,0.05555555555555555,"(0.345, 0.473]",9
2,0.05555555555555555,"(-0.677, -0.549]",1
2,0.05555555555555555,"(0.6, 0.728]",11
1,0.027777777777777776,"(-0.549, -0.422]",2
1,0.027777777777777776,"(-0.422, -0.294]",3
1,0.027777777777777776,"(-0.294, -0.166]",4
1,0.027777777777777776,"(1.622, 1.75]",19
1,0.027777777777777776,"(0.473, 0.6]",10
1,0.027777777777777776,"(0.984, 1.111]",14
1,0.027777777777777776,"(1.111, 1.239]",15
1,0.027777777777777776,"(1.367, 1.495]",17
1,0.027777777777777776,"(1.495, 1.622]",0
0,0.0,"(0.728, 0.856]",18
0,0.0,"(0.856, 0.984]",12
0,0.0,"(1.239, 1.367]",13
0,0.0,"(-0.805, -0.677]",16
