bin_count,bin_freq,bin_range,x_value,bin_number
1,0.014492753623188406,"(-2.166, -1.916]",-2.166,1
1,0.014492753623188406,"(-1.916, -1.666]",-1.916,2
2,0.028985507246376812,"(-1.666, -1.415]",-1.666,3
0,0.0,"(-1.415, -1.165]",-1.415,4
1,0.014492753623188406,"(-1.165, -0.915]",-1.165,5
3,0.043478260869565216,"(-0.915, -0.665]",-0.915,6
5,0.07246376811594203,"(-0.665, -0.415]",-0.665,7
9,0.13043478260869565,"(-0.415, -0.165]",-0.415,8
11,0.15942028985507245,"(-0.165, 0.085]",-0.165,9
15,0.21739130434782608,"(0.085, 0.335]",0.085,10
9,0.13043478260869565,"(0.335, 0.585]",0.335,11
6,0.08695652173913043,"(0.585, 0.835]",0.585,12
3,0.043478260869565216,"(0.835, 1.085]",0.835,13
0,0.0,"(1.085, 1.335]",1.085,14
0,0.0,"(1.335, 1.586]",1.335,15
2,0.028985507246376812,"(1.586, 1.836]",1.586,16
0,0.0,"(1.836, 2.086]",1.836,17
0,0.0,"(2.086, 2.336]",2.086,18
0,0.0,"(2.336, 2.586]",2.336,19
1,0.014492753623188406,"(2.586, 2.836]",2.586,20
