bin_count,bin_freq,bin_range,x_value,bin_number
1,0.05,"(-2.336, -2.113]",-2.336,1
0,0.0,"(-2.113, -1.891]",-2.113,2
1,0.05,"(-1.891, -1.668]",-1.891,3
0,0.0,"(-1.668, -1.446]",-1.668,4
0,0.0,"(-1.446, -1.223]",-1.446,5
1,0.05,"(-1.223, -1.001]",-1.223,6
0,0.0,"(-1.001, -0.778]",-1.001,7
2,0.1,"(-0.778, -0.556]",-0.778,8
3,0.15,"(-0.556, -0.333]",-0.556,9
5,0.25,"(-0.333, -0.111]",-0.333,10
3,0.15,"(-0.111, 0.112]",-0.111,11
1,0.05,"(0.112, 0.334]",0.112,12
2,0.1,"(0.334, 0.557]",0.334,13
0,0.0,"(0.557, 0.779]",0.557,14
0,0.0,"(0.779, 1.002]",0.779,15
0,0.0,"(1.002, 1.224]",1.002,16
0,0.0,"(1.224, 1.447]",1.224,17
0,0.0,"(1.447, 1.669]",1.447,18
0,0.0,"(1.669, 1.892]",1.669,19
1,0.05,"(1.892, 2.114]",1.892,20
