bin_count,bin_freq,bin_range,x_value,bin_number
1,0.041666666666666664,"(-2.748, -2.486]",-2.748,1
0,0.0,"(-2.486, -2.224]",-2.486,2
0,0.0,"(-2.224, -1.961]",-2.224,3
0,0.0,"(-1.961, -1.699]",-1.961,4
0,0.0,"(-1.699, -1.437]",-1.699,5
2,0.08333333333333333,"(-1.437, -1.175]",-1.437,6
1,0.041666666666666664,"(-1.175, -0.912]",-1.175,7
1,0.041666666666666664,"(-0.912, -0.65]",-0.912,8
1,0.041666666666666664,"(-0.65, -0.388]",-0.65,9
2,0.08333333333333333,"(-0.388, -0.125]",-0.388,10
9,0.375,"(-0.125, 0.137]",-0.125,11
2,0.08333333333333333,"(0.137, 0.399]",0.137,12
1,0.041666666666666664,"(0.399, 0.662]",0.399,13
1,0.041666666666666664,"(0.662, 0.924]",0.662,14
1,0.041666666666666664,"(0.924, 1.186]",0.924,15
1,0.041666666666666664,"(1.186, 1.449]",1.186,16
0,0.0,"(1.449, 1.711]",1.449,17
0,0.0,"(1.711, 1.973]",1.711,18
0,0.0,"(1.973, 2.236]",1.973,19
1,0.041666666666666664,"(2.236, 2.498]",2.236,20
