bin_count,bin_freq,bin_range,x_value,bin_number
2,0.012121212121212121,"(-1.977, -1.751]",-1.977,1
0,0.0,"(-1.751, -1.526]",-1.751,2
1,0.006060606060606061,"(-1.526, -1.3]",-1.526,3
0,0.0,"(-1.3, -1.074]",-1.3,4
4,0.024242424242424242,"(-1.074, -0.849]",-1.074,5
10,0.06060606060606061,"(-0.849, -0.623]",-0.849,6
4,0.024242424242424242,"(-0.623, -0.397]",-0.623,7
22,0.13333333333333333,"(-0.397, -0.171]",-0.397,8
40,0.24242424242424243,"(-0.171, 0.0543]",-0.171,9
41,0.24848484848484848,"(0.0543, 0.28]",0.0543,10
19,0.11515151515151516,"(0.28, 0.506]",0.28,11
9,0.05454545454545454,"(0.506, 0.731]",0.506,12
7,0.04242424242424243,"(0.731, 0.957]",0.731,13
1,0.006060606060606061,"(0.957, 1.183]",0.957,14
3,0.01818181818181818,"(1.183, 1.408]",1.183,15
0,0.0,"(1.408, 1.634]",1.408,16
0,0.0,"(1.634, 1.86]",1.634,17
0,0.0,"(1.86, 2.086]",1.86,18
1,0.006060606060606061,"(2.086, 2.311]",2.086,19
1,0.006060606060606061,"(2.311, 2.537]",2.311,20
