bin_count,bin_freq,bin_range,bin_number
69,0.31797235023041476,"(-0.163, 0.124]",8
55,0.2534562211981567,"(0.124, 0.411]",9
32,0.14746543778801843,"(-0.45, -0.163]",7
16,0.07373271889400922,"(0.411, 0.698]",10
10,0.04608294930875576,"(-0.737, -0.45]",11
9,0.041474654377880185,"(0.698, 0.985]",6
5,0.02304147465437788,"(-1.024, -0.737]",5
4,0.018433179723502304,"(-1.886, -1.599]",2
4,0.018433179723502304,"(-1.599, -1.311]",3
4,0.018433179723502304,"(0.985, 1.273]",12
3,0.013824884792626729,"(-2.46, -2.173]",0
2,0.009216589861751152,"(1.273, 1.56]",13
1,0.004608294930875576,"(1.56, 1.847]",14
1,0.004608294930875576,"(-1.311, -1.024]",4
1,0.004608294930875576,"(-2.173, -1.886]",1
1,0.004608294930875576,"(2.995, 3.282]",19
0,0.0,"(2.708, 2.995]",18
0,0.0,"(1.847, 2.134]",15
0,0.0,"(2.134, 2.421]",16
0,0.0,"(2.421, 2.708]",17
