bin_count,bin_freq,bin_range,bin_number
7,0.25925925925925924,"(-0.0752, 0.0435]",9
4,0.14814814814814814,"(0.0435, 0.162]",10
3,0.1111111111111111,"(0.162, 0.281]",11
3,0.1111111111111111,"(-0.194, -0.0752]",8
2,0.07407407407407407,"(-1.025, -0.906]",1
2,0.07407407407407407,"(1.112, 1.231]",19
1,0.037037037037037035,"(0.281, 0.4]",12
1,0.037037037037037035,"(0.756, 0.875]",16
1,0.037037037037037035,"(-0.431, -0.313]",6
1,0.037037037037037035,"(-0.669, -0.55]",4
1,0.037037037037037035,"(0.875, 0.994]",17
1,0.037037037037037035,"(0.4, 0.519]",0
0,0.0,"(0.519, 0.637]",13
0,0.0,"(0.637, 0.756]",14
0,0.0,"(0.994, 1.112]",15
0,0.0,"(-0.313, -0.194]",18
0,0.0,"(-0.55, -0.431]",7
0,0.0,"(-0.788, -0.669]",5
0,0.0,"(-0.906, -0.788]",3
0,0.0,"(-1.144, -1.025]",2
