bin_count,bin_freq,bin_range,bin_number
6,0.2857142857142857,"(0.101, 0.205]",6
3,0.14285714285714285,"(-0.214, -0.109]",3
2,0.09523809523809523,"(0.52, 0.624]",0
2,0.09523809523809523,"(0.31, 0.415]",10
2,0.09523809523809523,"(1.462, 1.567]",8
1,0.047619047619047616,"(-0.423, -0.318]",1
1,0.047619047619047616,"(-0.00403, 0.101]",5
1,0.047619047619047616,"(0.205, 0.31]",7
1,0.047619047619047616,"(0.415, 0.52]",19
1,0.047619047619047616,"(1.253, 1.358]",17
1,0.047619047619047616,"(-0.528, -0.423]",9
0,0.0,"(0.624, 0.729]",11
0,0.0,"(1.358, 1.462]",18
0,0.0,"(0.729, 0.834]",12
0,0.0,"(0.834, 0.939]",13
0,0.0,"(0.939, 1.043]",14
0,0.0,"(1.043, 1.148]",15
0,0.0,"(-0.109, -0.00403]",4
0,0.0,"(1.148, 1.253]",16
0,0.0,"(-0.318, -0.214]",2
