bin_count,bin_freq,bin_range,bin_number
13,0.23214285714285715,"(-0.287, -0.116]",4
10,0.17857142857142858,"(-0.116, 0.055]",5
6,0.10714285714285714,"(-0.458, -0.287]",3
5,0.08928571428571429,"(0.055, 0.226]",6
5,0.08928571428571429,"(0.226, 0.397]",7
4,0.07142857142857142,"(0.568, 0.738]",9
3,0.05357142857142857,"(-0.628, -0.458]",2
2,0.03571428571428571,"(-0.799, -0.628]",1
2,0.03571428571428571,"(0.738, 0.909]",10
1,0.017857142857142856,"(0.397, 0.568]",8
1,0.017857142857142856,"(2.276, 2.447]",19
1,0.017857142857142856,"(1.08, 1.251]",12
1,0.017857142857142856,"(1.251, 1.422]",13
1,0.017857142857142856,"(1.422, 1.593]",14
1,0.017857142857142856,"(2.105, 2.276]",0
0,0.0,"(0.909, 1.08]",18
0,0.0,"(1.593, 1.764]",11
0,0.0,"(1.764, 1.934]",15
0,0.0,"(1.934, 2.105]",16
0,0.0,"(-0.97, -0.799]",17
