bin_count,bin_freq,bin_range,x_value,bin_number
3,0.0410958904109589,"(-2.166, -1.769]",-2.166,1
0,0.0,"(-1.769, -1.372]",-1.769,2
5,0.0684931506849315,"(-1.372, -0.975]",-1.372,3
7,0.0958904109589041,"(-0.975, -0.577]",-0.975,4
14,0.1917808219178082,"(-0.577, -0.18]",-0.577,5
17,0.2328767123287671,"(-0.18, 0.217]",-0.18,6
10,0.136986301369863,"(0.217, 0.614]",0.217,7
7,0.0958904109589041,"(0.614, 1.011]",0.614,8
2,0.0273972602739726,"(1.011, 1.408]",1.011,9
3,0.0410958904109589,"(1.408, 1.805]",1.408,10
2,0.0273972602739726,"(1.805, 2.202]",1.805,11
1,0.0136986301369863,"(2.202, 2.599]",2.202,12
0,0.0,"(2.599, 2.996]",2.599,13
1,0.0136986301369863,"(2.996, 3.393]",2.996,14
0,0.0,"(3.393, 3.79]",3.393,15
0,0.0,"(3.79, 4.188]",3.79,16
0,0.0,"(4.188, 4.585]",4.188,17
0,0.0,"(4.585, 4.982]",4.585,18
0,0.0,"(4.982, 5.379]",4.982,19
1,0.0136986301369863,"(5.379, 5.776]",5.379,20
