bin_count,bin_freq,bin_range,x_value,bin_number
2,0.058823529411764705,"(-1.284, -1.14]",-1.284,1
0,0.0,"(-1.14, -0.996]",-1.14,2
2,0.058823529411764705,"(-0.996, -0.852]",-0.996,3
1,0.029411764705882353,"(-0.852, -0.708]",-0.852,4
1,0.029411764705882353,"(-0.708, -0.564]",-0.708,5
4,0.11764705882352941,"(-0.564, -0.42]",-0.564,6
4,0.11764705882352941,"(-0.42, -0.276]",-0.42,7
2,0.058823529411764705,"(-0.276, -0.132]",-0.276,8
4,0.11764705882352941,"(-0.132, 0.0117]",-0.132,9
4,0.11764705882352941,"(0.0117, 0.156]",0.0117,10
2,0.058823529411764705,"(0.156, 0.3]",0.156,11
1,0.029411764705882353,"(0.3, 0.444]",0.3,12
3,0.08823529411764706,"(0.444, 0.588]",0.444,13
1,0.029411764705882353,"(0.588, 0.732]",0.588,14
1,0.029411764705882353,"(0.732, 0.876]",0.732,15
0,0.0,"(0.876, 1.02]",0.876,16
1,0.029411764705882353,"(1.02, 1.164]",1.02,17
0,0.0,"(1.164, 1.308]",1.164,18
0,0.0,"(1.308, 1.452]",1.308,19
1,0.029411764705882353,"(1.452, 1.596]",1.452,20
