bin_count,bin_freq,bin_range,bin_number
72,0.23003194888178913,"(0.0581, 0.253]",12
66,0.2108626198083067,"(-0.137, 0.0581]",11
35,0.11182108626198083,"(0.253, 0.448]",13
32,0.10223642172523961,"(-0.332, -0.137]",10
26,0.08306709265175719,"(0.448, 0.643]",14
20,0.06389776357827476,"(-0.527, -0.332]",9
14,0.04472843450479233,"(-0.722, -0.527]",8
12,0.038338658146964855,"(-0.917, -0.722]",7
9,0.02875399361022364,"(0.643, 0.838]",15
8,0.025559105431309903,"(-1.111, -0.917]",6
6,0.019169329073482427,"(0.838, 1.033]",16
3,0.009584664536741214,"(-1.501, -1.306]",4
3,0.009584664536741214,"(-1.306, -1.111]",5
3,0.009584664536741214,"(1.423, 1.617]",19
2,0.006389776357827476,"(-1.696, -1.501]",3
1,0.003194888178913738,"(1.228, 1.423]",18
1,0.003194888178913738,"(1.033, 1.228]",0
0,0.0,"(-1.891, -1.696]",17
0,0.0,"(-2.086, -1.891]",2
0,0.0,"(-2.281, -2.086]",1
