bin_count,bin_freq,bin_range,x_value,bin_number
2,0.05,"(-0.992, -0.833]",-0.992,1
3,0.075,"(-0.833, -0.674]",-0.833,2
0,0.0,"(-0.674, -0.515]",-0.674,3
5,0.125,"(-0.515, -0.356]",-0.515,4
2,0.05,"(-0.356, -0.197]",-0.356,5
5,0.125,"(-0.197, -0.0382]",-0.197,6
4,0.1,"(-0.0382, 0.121]",-0.0382,7
8,0.2,"(0.121, 0.28]",0.121,8
4,0.1,"(0.28, 0.439]",0.28,9
5,0.125,"(0.439, 0.598]",0.439,10
0,0.0,"(0.598, 0.757]",0.598,11
1,0.025,"(0.757, 0.916]",0.757,12
0,0.0,"(0.916, 1.075]",0.916,13
0,0.0,"(1.075, 1.234]",1.075,14
0,0.0,"(1.234, 1.393]",1.234,15
0,0.0,"(1.393, 1.552]",1.393,16
0,0.0,"(1.552, 1.711]",1.552,17
0,0.0,"(1.711, 1.87]",1.711,18
0,0.0,"(1.87, 2.029]",1.87,19
1,0.025,"(2.029, 2.188]",2.029,20
