bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0045871559633027525,"(-1.817, -1.639]",-1.817,1
0,0.0,"(-1.639, -1.462]",-1.639,2
2,0.009174311926605505,"(-1.462, -1.284]",-1.462,3
3,0.013761467889908258,"(-1.284, -1.106]",-1.284,4
3,0.013761467889908258,"(-1.106, -0.928]",-1.106,5
5,0.022935779816513763,"(-0.928, -0.751]",-0.928,6
5,0.022935779816513763,"(-0.751, -0.573]",-0.751,7
15,0.06880733944954129,"(-0.573, -0.395]",-0.573,8
20,0.09174311926605505,"(-0.395, -0.217]",-0.395,9
46,0.21100917431192662,"(-0.217, -0.0394]",-0.217,10
42,0.1926605504587156,"(-0.0394, 0.138]",-0.0394,11
35,0.16055045871559634,"(0.138, 0.316]",0.138,12
13,0.05963302752293578,"(0.316, 0.494]",0.316,13
14,0.06422018348623854,"(0.494, 0.672]",0.494,14
4,0.01834862385321101,"(0.672, 0.85]",0.672,15
3,0.013761467889908258,"(0.85, 1.027]",0.85,16
3,0.013761467889908258,"(1.027, 1.205]",1.027,17
3,0.013761467889908258,"(1.205, 1.383]",1.205,18
0,0.0,"(1.383, 1.561]",1.383,19
1,0.0045871559633027525,"(1.561, 1.738]",1.561,20
