bin_count,bin_freq,bin_range,x_value,bin_number
1,0.005780346820809248,"(-2.094, -1.864]",-2.094,1
2,0.011560693641618497,"(-1.864, -1.633]",-1.864,2
3,0.017341040462427744,"(-1.633, -1.402]",-1.633,3
3,0.017341040462427744,"(-1.402, -1.172]",-1.402,4
5,0.028901734104046242,"(-1.172, -0.941]",-1.172,5
2,0.011560693641618497,"(-0.941, -0.71]",-0.941,6
10,0.057803468208092484,"(-0.71, -0.48]",-0.71,7
15,0.08670520231213873,"(-0.48, -0.249]",-0.48,8
46,0.2658959537572254,"(-0.249, -0.0184]",-0.249,9
51,0.2947976878612717,"(-0.0184, 0.212]",-0.0184,10
13,0.07514450867052024,"(0.212, 0.443]",0.212,11
9,0.05202312138728324,"(0.443, 0.674]",0.443,12
7,0.04046242774566474,"(0.674, 0.904]",0.674,13
0,0.0,"(0.904, 1.135]",0.904,14
2,0.011560693641618497,"(1.135, 1.365]",1.135,15
0,0.0,"(1.365, 1.596]",1.365,16
1,0.005780346820809248,"(1.596, 1.827]",1.596,17
2,0.011560693641618497,"(1.827, 2.057]",1.827,18
0,0.0,"(2.057, 2.288]",2.057,19
1,0.005780346820809248,"(2.288, 2.519]",2.288,20
