bin_count,bin_freq,bin_range,bin_number
34,0.2809917355371901,"(-0.117, 0.109]",12
25,0.2066115702479339,"(0.109, 0.334]",13
20,0.1652892561983471,"(-0.342, -0.117]",11
15,0.12396694214876033,"(-0.567, -0.342]",10
8,0.06611570247933884,"(0.334, 0.559]",14
4,0.03305785123966942,"(0.559, 0.784]",9
4,0.03305785123966942,"(-0.792, -0.567]",15
2,0.01652892561983471,"(-2.144, -1.919]",7
2,0.01652892561983471,"(-1.243, -1.018]",16
2,0.01652892561983471,"(-1.018, -0.792]",3
1,0.008264462809917356,"(-2.369, -2.144]",2
1,0.008264462809917356,"(1.46, 1.686]",19
1,0.008264462809917356,"(0.784, 1.01]",8
1,0.008264462809917356,"(1.01, 1.235]",17
1,0.008264462809917356,"(1.235, 1.46]",0
0,0.0,"(-1.468, -1.243]",6
0,0.0,"(-1.694, -1.468]",5
0,0.0,"(-1.919, -1.694]",4
0,0.0,"(-2.595, -2.369]",18
0,0.0,"(-2.82, -2.595]",1
