bin_count,bin_freq,bin_range,x_value,bin_number
1,0.07692307692307693,"(-2.094, -1.932]",-2.094,1
1,0.07692307692307693,"(-1.932, -1.77]",-1.932,2
0,0.0,"(-1.77, -1.608]",-1.77,3
0,0.0,"(-1.608, -1.445]",-1.608,4
0,0.0,"(-1.445, -1.283]",-1.445,5
0,0.0,"(-1.283, -1.121]",-1.283,6
0,0.0,"(-1.121, -0.959]",-1.121,7
0,0.0,"(-0.959, -0.797]",-0.959,8
0,0.0,"(-0.797, -0.635]",-0.797,9
2,0.15384615384615385,"(-0.635, -0.472]",-0.635,10
0,0.0,"(-0.472, -0.31]",-0.472,11
1,0.07692307692307693,"(-0.31, -0.148]",-0.31,12
3,0.23076923076923078,"(-0.148, 0.0142]",-0.148,13
4,0.3076923076923077,"(0.0142, 0.176]",0.0142,14
0,0.0,"(0.176, 0.339]",0.176,15
0,0.0,"(0.339, 0.501]",0.339,16
0,0.0,"(0.501, 0.663]",0.501,17
0,0.0,"(0.663, 0.825]",0.663,18
0,0.0,"(0.825, 0.987]",0.825,19
1,0.07692307692307693,"(0.987, 1.149]",0.987,20
