bin_count,bin_freq,bin_range,bin_number
0.0,0.0,"(-5.0, -4.5]",0
0.0,0.0,"(-4.5, -4.0]",1
0.0,0.0,"(-4.0, -3.5]",2
0.0,0.0,"(-3.5, -3.0]",3
0.0,0.0,"(-3.0, -2.5]",4
0.0,0.0,"(-2.5, -2.0]",5
0.0,0.0,"(-2.0, -1.5]",6
0.0,0.0,"(-1.5, -1.0]",7
0.0,0.0,"(-1.0, -0.5]",8
0.0,0.0,"(-0.5, 0.0005]",9
0.0,0.0,"(0.0005, 0.501]",10
0.0,0.0,"(0.501, 1.001]",11
0.0,0.0,"(1.001, 1.501]",12
0.0,0.0,"(1.501, 2.001]",13
0.0,0.0,"(2.001, 2.501]",14
0.0,0.0,"(2.501, 3.001]",15
0.0,0.0,"(3.001, 3.501]",16
0.0,0.0,"(3.501, 4.001]",17
0.0,0.0,"(4.001, 4.501]",18
0.0,0.0,"(4.501, 5.001]",19
