bin_count,bin_freq,bin_range,x_value,bin_number
2,0.005037783375314861,"(-1.73, -1.521]",-1.73,1
1,0.0025188916876574307,"(-1.521, -1.312]",-1.521,2
5,0.012594458438287154,"(-1.312, -1.103]",-1.312,3
9,0.022670025188916875,"(-1.103, -0.894]",-1.103,4
5,0.012594458438287154,"(-0.894, -0.684]",-0.894,5
14,0.03526448362720403,"(-0.684, -0.475]",-0.684,6
34,0.08564231738035265,"(-0.475, -0.266]",-0.475,7
85,0.2141057934508816,"(-0.266, -0.0571]",-0.266,8
128,0.3224181360201511,"(-0.0571, 0.152]",-0.0571,9
58,0.14609571788413098,"(0.152, 0.361]",0.152,10
29,0.07304785894206549,"(0.361, 0.57]",0.361,11
14,0.03526448362720403,"(0.57, 0.779]",0.57,12
5,0.012594458438287154,"(0.779, 0.988]",0.779,13
2,0.005037783375314861,"(0.988, 1.198]",0.988,14
2,0.005037783375314861,"(1.198, 1.407]",1.198,15
1,0.0025188916876574307,"(1.407, 1.616]",1.407,16
1,0.0025188916876574307,"(1.616, 1.825]",1.616,17
1,0.0025188916876574307,"(1.825, 2.034]",1.825,18
0,0.0,"(2.034, 2.243]",2.034,19
1,0.0025188916876574307,"(2.243, 2.452]",2.243,20
