bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0034602076124567475,"(-1.73, -1.521]",-1.73,1
0,0.0,"(-1.521, -1.312]",-1.521,2
2,0.006920415224913495,"(-1.312, -1.103]",-1.312,3
2,0.006920415224913495,"(-1.103, -0.894]",-1.103,4
2,0.006920415224913495,"(-0.894, -0.684]",-0.894,5
8,0.02768166089965398,"(-0.684, -0.475]",-0.684,6
25,0.08650519031141868,"(-0.475, -0.266]",-0.475,7
66,0.22837370242214533,"(-0.266, -0.0571]",-0.266,8
105,0.3633217993079585,"(-0.0571, 0.152]",-0.0571,9
48,0.16608996539792387,"(0.152, 0.361]",0.152,10
14,0.04844290657439446,"(0.361, 0.57]",0.361,11
9,0.031141868512110725,"(0.57, 0.779]",0.57,12
5,0.01730103806228374,"(0.779, 0.988]",0.779,13
0,0.0,"(0.988, 1.198]",0.988,14
0,0.0,"(1.198, 1.407]",1.198,15
0,0.0,"(1.407, 1.616]",1.407,16
0,0.0,"(1.616, 1.825]",1.616,17
1,0.0034602076124567475,"(1.825, 2.034]",1.825,18
0,0.0,"(2.034, 2.243]",2.034,19
1,0.0034602076124567475,"(2.243, 2.452]",2.243,20
