bin_count,bin_freq,bin_range,x_value,bin_number
1,0.07692307692307693,"(-0.919, -0.821]",-0.919,1
0,0.0,"(-0.821, -0.722]",-0.821,2
1,0.07692307692307693,"(-0.722, -0.623]",-0.722,3
1,0.07692307692307693,"(-0.623, -0.525]",-0.623,4
0,0.0,"(-0.525, -0.426]",-0.525,5
3,0.23076923076923078,"(-0.426, -0.327]",-0.426,6
0,0.0,"(-0.327, -0.229]",-0.327,7
0,0.0,"(-0.229, -0.13]",-0.229,8
0,0.0,"(-0.13, -0.0312]",-0.13,9
0,0.0,"(-0.0312, 0.0675]",-0.0312,10
1,0.07692307692307693,"(0.0675, 0.166]",0.0675,11
1,0.07692307692307693,"(0.166, 0.265]",0.166,12
1,0.07692307692307693,"(0.265, 0.364]",0.265,13
2,0.15384615384615385,"(0.364, 0.462]",0.364,14
1,0.07692307692307693,"(0.462, 0.561]",0.462,15
0,0.0,"(0.561, 0.66]",0.561,16
0,0.0,"(0.66, 0.758]",0.66,17
0,0.0,"(0.758, 0.857]",0.758,18
0,0.0,"(0.857, 0.956]",0.857,19
1,0.07692307692307693,"(0.956, 1.054]",0.956,20
