bin_count,bin_freq,bin_range,x_value,bin_number
1,0.005649717514124294,"(-2.749, -2.486]",-2.749,1
0,0.0,"(-2.486, -2.222]",-2.486,2
1,0.005649717514124294,"(-2.222, -1.959]",-2.222,3
1,0.005649717514124294,"(-1.959, -1.695]",-1.959,4
3,0.01694915254237288,"(-1.695, -1.432]",-1.695,5
2,0.011299435028248588,"(-1.432, -1.169]",-1.432,6
4,0.022598870056497175,"(-1.169, -0.905]",-1.169,7
10,0.05649717514124294,"(-0.905, -0.642]",-0.905,8
14,0.07909604519774012,"(-0.642, -0.379]",-0.642,9
33,0.1864406779661017,"(-0.379, -0.115]",-0.379,10
54,0.3050847457627119,"(-0.115, 0.148]",-0.115,11
33,0.1864406779661017,"(0.148, 0.412]",0.148,12
10,0.05649717514124294,"(0.412, 0.675]",0.412,13
6,0.03389830508474576,"(0.675, 0.938]",0.675,14
2,0.011299435028248588,"(0.938, 1.202]",0.938,15
0,0.0,"(1.202, 1.465]",1.202,16
1,0.005649717514124294,"(1.465, 1.728]",1.465,17
1,0.005649717514124294,"(1.728, 1.992]",1.728,18
0,0.0,"(1.992, 2.255]",1.992,19
1,0.005649717514124294,"(2.255, 2.519]",2.255,20
