bin_count,bin_freq,bin_range,x_value,bin_number
1,0.01282051282051282,"(-2.33, -2.14]",-2.33,1
0,0.0,"(-2.14, -1.95]",-2.14,2
0,0.0,"(-1.95, -1.76]",-1.95,3
1,0.01282051282051282,"(-1.76, -1.569]",-1.76,4
0,0.0,"(-1.569, -1.379]",-1.569,5
3,0.038461538461538464,"(-1.379, -1.189]",-1.379,6
1,0.01282051282051282,"(-1.189, -0.999]",-1.189,7
4,0.05128205128205128,"(-0.999, -0.808]",-0.999,8
7,0.08974358974358974,"(-0.808, -0.618]",-0.808,9
2,0.02564102564102564,"(-0.618, -0.428]",-0.618,10
12,0.15384615384615385,"(-0.428, -0.238]",-0.428,11
10,0.1282051282051282,"(-0.238, -0.0473]",-0.238,12
9,0.11538461538461539,"(-0.0473, 0.143]",-0.0473,13
9,0.11538461538461539,"(0.143, 0.333]",0.143,14
4,0.05128205128205128,"(0.333, 0.524]",0.333,15
10,0.1282051282051282,"(0.524, 0.714]",0.524,16
2,0.02564102564102564,"(0.714, 0.904]",0.714,17
0,0.0,"(0.904, 1.094]",0.904,18
2,0.02564102564102564,"(1.094, 1.285]",1.094,19
1,0.01282051282051282,"(1.285, 1.475]",1.285,20
