bin_count,bin_freq,bin_range,x_value,bin_number
5,0.050505050505050504,"(-1.293, -1.108]",-1.293,1
5,0.050505050505050504,"(-1.108, -0.923]",-1.108,2
1,0.010101010101010102,"(-0.923, -0.738]",-0.923,3
3,0.030303030303030304,"(-0.738, -0.553]",-0.738,4
10,0.10101010101010101,"(-0.553, -0.368]",-0.553,5
5,0.050505050505050504,"(-0.368, -0.183]",-0.368,6
16,0.16161616161616163,"(-0.183, 0.00251]",-0.183,7
15,0.15151515151515152,"(0.00251, 0.188]",0.00251,8
8,0.08080808080808081,"(0.188, 0.373]",0.188,9
9,0.09090909090909091,"(0.373, 0.558]",0.373,10
8,0.08080808080808081,"(0.558, 0.743]",0.558,11
5,0.050505050505050504,"(0.743, 0.928]",0.743,12
4,0.04040404040404041,"(0.928, 1.113]",0.928,13
2,0.020202020202020204,"(1.113, 1.298]",1.113,14
1,0.010101010101010102,"(1.298, 1.483]",1.298,15
1,0.010101010101010102,"(1.483, 1.668]",1.483,16
0,0.0,"(1.668, 1.854]",1.668,17
0,0.0,"(1.854, 2.039]",1.854,18
0,0.0,"(2.039, 2.224]",2.039,19
1,0.010101010101010102,"(2.224, 2.409]",2.224,20
