bin_count,bin_freq,bin_range,x_value,bin_number
1,0.05263157894736842,"(-0.518, -0.426]",-0.518,1
0,0.0,"(-0.426, -0.334]",-0.426,2
2,0.10526315789473684,"(-0.334, -0.242]",-0.334,3
6,0.3157894736842105,"(-0.242, -0.15]",-0.242,4
0,0.0,"(-0.15, -0.0586]",-0.15,5
2,0.10526315789473684,"(-0.0586, 0.0332]",-0.0586,6
2,0.10526315789473684,"(0.0332, 0.125]",0.0332,7
0,0.0,"(0.125, 0.217]",0.125,8
2,0.10526315789473684,"(0.217, 0.309]",0.217,9
1,0.05263157894736842,"(0.309, 0.4]",0.309,10
1,0.05263157894736842,"(0.4, 0.492]",0.4,11
0,0.0,"(0.492, 0.584]",0.492,12
0,0.0,"(0.584, 0.676]",0.584,13
0,0.0,"(0.676, 0.768]",0.676,14
1,0.05263157894736842,"(0.768, 0.86]",0.768,15
0,0.0,"(0.86, 0.951]",0.86,16
0,0.0,"(0.951, 1.043]",0.951,17
0,0.0,"(1.043, 1.135]",1.043,18
0,0.0,"(1.135, 1.227]",1.135,19
1,0.05263157894736842,"(1.227, 1.319]",1.227,20
