bin_count,bin_freq,bin_range,x_value,bin_number
3,0.09090909090909091,"(-1.817, -1.576]",-1.817,1
1,0.030303030303030304,"(-1.576, -1.335]",-1.576,2
1,0.030303030303030304,"(-1.335, -1.094]",-1.335,3
1,0.030303030303030304,"(-1.094, -0.853]",-1.094,4
3,0.09090909090909091,"(-0.853, -0.612]",-0.853,5
2,0.06060606060606061,"(-0.612, -0.371]",-0.612,6
1,0.030303030303030304,"(-0.371, -0.13]",-0.371,7
4,0.12121212121212122,"(-0.13, 0.111]",-0.13,8
4,0.12121212121212122,"(0.111, 0.352]",0.111,9
6,0.18181818181818182,"(0.352, 0.593]",0.352,10
2,0.06060606060606061,"(0.593, 0.834]",0.593,11
2,0.06060606060606061,"(0.834, 1.075]",0.834,12
2,0.06060606060606061,"(1.075, 1.317]",1.075,13
0,0.0,"(1.317, 1.558]",1.317,14
0,0.0,"(1.558, 1.799]",1.558,15
0,0.0,"(1.799, 2.04]",1.799,16
0,0.0,"(2.04, 2.281]",2.04,17
0,0.0,"(2.281, 2.522]",2.281,18
0,0.0,"(2.522, 2.763]",2.522,19
1,0.030303030303030304,"(2.763, 3.004]",2.763,20
