bin_count,bin_freq,bin_range,x_value,bin_number
1,0.02564102564102564,"(-1.836, -1.456]",-1.836,1
1,0.02564102564102564,"(-1.456, -1.075]",-1.456,2
4,0.10256410256410256,"(-1.075, -0.694]",-1.075,3
2,0.05128205128205128,"(-0.694, -0.314]",-0.694,4
8,0.20512820512820512,"(-0.314, 0.0668]",-0.314,5
10,0.2564102564102564,"(0.0668, 0.447]",0.0668,6
5,0.1282051282051282,"(0.447, 0.828]",0.447,7
2,0.05128205128205128,"(0.828, 1.209]",0.828,8
4,0.10256410256410256,"(1.209, 1.589]",1.209,9
1,0.02564102564102564,"(1.589, 1.97]",1.589,10
0,0.0,"(1.97, 2.35]",1.97,11
0,0.0,"(2.35, 2.731]",2.35,12
0,0.0,"(2.731, 3.112]",2.731,13
0,0.0,"(3.112, 3.492]",3.112,14
0,0.0,"(3.492, 3.873]",3.492,15
0,0.0,"(3.873, 4.253]",3.873,16
0,0.0,"(4.253, 4.634]",4.253,17
0,0.0,"(4.634, 5.015]",4.634,18
0,0.0,"(5.015, 5.395]",5.015,19
1,0.02564102564102564,"(5.395, 5.776]",5.395,20
