bin_count,bin_freq,bin_range,x_value,bin_number
1,0.004201680672268907,"(-2.948, -2.689]",-2.948,1
0,0.0,"(-2.689, -2.43]",-2.689,2
1,0.004201680672268907,"(-2.43, -2.171]",-2.43,3
3,0.012605042016806723,"(-2.171, -1.912]",-2.171,4
2,0.008403361344537815,"(-1.912, -1.653]",-1.912,5
2,0.008403361344537815,"(-1.653, -1.393]",-1.653,6
4,0.01680672268907563,"(-1.393, -1.134]",-1.393,7
9,0.037815126050420166,"(-1.134, -0.875]",-1.134,8
11,0.046218487394957986,"(-0.875, -0.616]",-0.875,9
27,0.1134453781512605,"(-0.616, -0.357]",-0.616,10
44,0.18487394957983194,"(-0.357, -0.0974]",-0.357,11
53,0.22268907563025211,"(-0.0974, 0.162]",-0.0974,12
38,0.15966386554621848,"(0.162, 0.421]",0.162,13
10,0.04201680672268908,"(0.421, 0.68]",0.421,14
14,0.058823529411764705,"(0.68, 0.939]",0.68,15
8,0.03361344537815126,"(0.939, 1.198]",0.939,16
4,0.01680672268907563,"(1.198, 1.458]",1.198,17
3,0.012605042016806723,"(1.458, 1.717]",1.458,18
2,0.008403361344537815,"(1.717, 1.976]",1.717,19
2,0.008403361344537815,"(1.976, 2.235]",1.976,20
