bin_count,bin_freq,bin_range,x_value,bin_number
1,0.009900990099009901,"(-2.948, -2.704]",-2.948,1
0,0.0,"(-2.704, -2.46]",-2.704,2
1,0.009900990099009901,"(-2.46, -2.215]",-2.46,3
2,0.019801980198019802,"(-2.215, -1.971]",-2.215,4
1,0.009900990099009901,"(-1.971, -1.726]",-1.971,5
0,0.0,"(-1.726, -1.482]",-1.726,6
1,0.009900990099009901,"(-1.482, -1.238]",-1.482,7
3,0.0297029702970297,"(-1.238, -0.993]",-1.238,8
4,0.039603960396039604,"(-0.993, -0.749]",-0.993,9
5,0.04950495049504951,"(-0.749, -0.504]",-0.749,10
11,0.10891089108910891,"(-0.504, -0.26]",-0.504,11
18,0.1782178217821782,"(-0.26, -0.0155]",-0.26,12
22,0.21782178217821782,"(-0.0155, 0.229]",-0.0155,13
15,0.1485148514851485,"(0.229, 0.473]",0.229,14
3,0.0297029702970297,"(0.473, 0.718]",0.473,15
6,0.0594059405940594,"(0.718, 0.962]",0.718,16
4,0.039603960396039604,"(0.962, 1.207]",0.962,17
2,0.019801980198019802,"(1.207, 1.451]",1.207,18
1,0.009900990099009901,"(1.451, 1.695]",1.451,19
1,0.009900990099009901,"(1.695, 1.94]",1.695,20
