bin_count,bin_freq,bin_range,x_value,bin_number
1,0.024390243902439025,"(-1.884, -1.727]",-1.884,1
0,0.0,"(-1.727, -1.57]",-1.727,2
0,0.0,"(-1.57, -1.414]",-1.57,3
0,0.0,"(-1.414, -1.257]",-1.414,4
1,0.024390243902439025,"(-1.257, -1.1]",-1.257,5
1,0.024390243902439025,"(-1.1, -0.943]",-1.1,6
0,0.0,"(-0.943, -0.787]",-0.943,7
2,0.04878048780487805,"(-0.787, -0.63]",-0.787,8
1,0.024390243902439025,"(-0.63, -0.473]",-0.63,9
3,0.07317073170731707,"(-0.473, -0.317]",-0.473,10
5,0.12195121951219512,"(-0.317, -0.16]",-0.317,11
7,0.17073170731707318,"(-0.16, -0.00308]",-0.16,12
12,0.2926829268292683,"(-0.00308, 0.154]",-0.00308,13
4,0.0975609756097561,"(0.154, 0.31]",0.154,14
3,0.07317073170731707,"(0.31, 0.467]",0.31,15
0,0.0,"(0.467, 0.624]",0.467,16
0,0.0,"(0.624, 0.781]",0.624,17
0,0.0,"(0.781, 0.937]",0.781,18
0,0.0,"(0.937, 1.094]",0.937,19
1,0.024390243902439025,"(1.094, 1.251]",1.094,20
