bin_count,bin_freq,bin_range,x_value,bin_number
1,0.07142857142857142,"(-0.852, -0.697]",-0.852,1
1,0.07142857142857142,"(-0.697, -0.543]",-0.697,2
3,0.21428571428571427,"(-0.543, -0.389]",-0.543,3
0,0.0,"(-0.389, -0.234]",-0.389,4
2,0.14285714285714285,"(-0.234, -0.0798]",-0.234,5
2,0.14285714285714285,"(-0.0798, 0.0745]",-0.0798,6
0,0.0,"(0.0745, 0.229]",0.0745,7
0,0.0,"(0.229, 0.383]",0.229,8
1,0.07142857142857142,"(0.383, 0.538]",0.383,9
0,0.0,"(0.538, 0.692]",0.538,10
2,0.14285714285714285,"(0.692, 0.846]",0.692,11
0,0.0,"(0.846, 1.001]",0.846,12
0,0.0,"(1.001, 1.155]",1.001,13
0,0.0,"(1.155, 1.309]",1.155,14
0,0.0,"(1.309, 1.464]",1.309,15
0,0.0,"(1.464, 1.618]",1.464,16
0,0.0,"(1.618, 1.772]",1.618,17
0,0.0,"(1.772, 1.927]",1.772,18
0,0.0,"(1.927, 2.081]",1.927,19
2,0.14285714285714285,"(2.081, 2.235]",2.081,20
