bin_count,bin_freq,bin_range,x_value,bin_number
1,0.08333333333333333,"(-0.784, -0.713]",-0.784,1
0,0.0,"(-0.713, -0.641]",-0.713,2
0,0.0,"(-0.641, -0.569]",-0.641,3
1,0.08333333333333333,"(-0.569, -0.498]",-0.569,4
0,0.0,"(-0.498, -0.426]",-0.498,5
0,0.0,"(-0.426, -0.355]",-0.426,6
0,0.0,"(-0.355, -0.283]",-0.355,7
1,0.08333333333333333,"(-0.283, -0.212]",-0.283,8
3,0.25,"(-0.212, -0.14]",-0.212,9
1,0.08333333333333333,"(-0.14, -0.0684]",-0.14,10
1,0.08333333333333333,"(-0.0684, 0.00313]",-0.0684,11
0,0.0,"(0.00313, 0.0747]",0.00313,12
2,0.16666666666666666,"(0.0747, 0.146]",0.0747,13
0,0.0,"(0.146, 0.218]",0.146,14
0,0.0,"(0.218, 0.289]",0.218,15
0,0.0,"(0.289, 0.361]",0.289,16
1,0.08333333333333333,"(0.361, 0.433]",0.361,17
0,0.0,"(0.433, 0.504]",0.433,18
0,0.0,"(0.504, 0.576]",0.504,19
1,0.08333333333333333,"(0.576, 0.647]",0.576,20
