bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0021141649048625794,"(-2.557, -2.312]",-2.557,1
1,0.0021141649048625794,"(-2.312, -2.068]",-2.312,2
1,0.0021141649048625794,"(-2.068, -1.823]",-2.068,3
4,0.008456659619450317,"(-1.823, -1.579]",-1.823,4
4,0.008456659619450317,"(-1.579, -1.335]",-1.579,5
4,0.008456659619450317,"(-1.335, -1.09]",-1.335,6
11,0.023255813953488372,"(-1.09, -0.846]",-1.09,7
18,0.03805496828752643,"(-0.846, -0.602]",-0.846,8
32,0.06765327695560254,"(-0.602, -0.357]",-0.602,9
78,0.1649048625792812,"(-0.357, -0.113]",-0.357,10
192,0.4059196617336152,"(-0.113, 0.132]",-0.113,11
65,0.13742071881606766,"(0.132, 0.376]",0.132,12
27,0.05708245243128964,"(0.376, 0.62]",0.376,13
17,0.035940803382663845,"(0.62, 0.865]",0.62,14
4,0.008456659619450317,"(0.865, 1.109]",0.865,15
6,0.012684989429175475,"(1.109, 1.354]",1.109,16
1,0.0021141649048625794,"(1.354, 1.598]",1.354,17
2,0.004228329809725159,"(1.598, 1.842]",1.598,18
4,0.008456659619450317,"(1.842, 2.087]",1.842,19
1,0.0021141649048625794,"(2.087, 2.331]",2.087,20
