bin_count,bin_freq,bin_range,x_value,bin_number
2,0.011428571428571429,"(-2.069, -1.91]",-2.069,1
1,0.005714285714285714,"(-1.91, -1.752]",-1.91,2
0,0.0,"(-1.752, -1.593]",-1.752,3
1,0.005714285714285714,"(-1.593, -1.435]",-1.593,4
0,0.0,"(-1.435, -1.276]",-1.435,5
0,0.0,"(-1.276, -1.117]",-1.276,6
3,0.017142857142857144,"(-1.117, -0.959]",-1.117,7
0,0.0,"(-0.959, -0.8]",-0.959,8
4,0.022857142857142857,"(-0.8, -0.641]",-0.8,9
2,0.011428571428571429,"(-0.641, -0.483]",-0.641,10
6,0.03428571428571429,"(-0.483, -0.324]",-0.483,11
11,0.06285714285714286,"(-0.324, -0.166]",-0.324,12
56,0.32,"(-0.166, -0.00703]",-0.166,13
52,0.29714285714285715,"(-0.00703, 0.152]",-0.00703,14
13,0.07428571428571429,"(0.152, 0.31]",0.152,15
9,0.05142857142857143,"(0.31, 0.469]",0.31,16
8,0.045714285714285714,"(0.469, 0.627]",0.469,17
4,0.022857142857142857,"(0.627, 0.786]",0.627,18
2,0.011428571428571429,"(0.786, 0.945]",0.786,19
1,0.005714285714285714,"(0.945, 1.103]",0.945,20
