bin_count,bin_freq,bin_range,x_value,bin_number
1,0.043478260869565216,"(-1.638, -1.468]",-1.638,1
0,0.0,"(-1.468, -1.298]",-1.468,2
0,0.0,"(-1.298, -1.128]",-1.298,3
2,0.08695652173913043,"(-1.128, -0.958]",-1.128,4
0,0.0,"(-0.958, -0.788]",-0.958,5
2,0.08695652173913043,"(-0.788, -0.618]",-0.788,6
1,0.043478260869565216,"(-0.618, -0.448]",-0.618,7
1,0.043478260869565216,"(-0.448, -0.278]",-0.448,8
5,0.21739130434782608,"(-0.278, -0.108]",-0.278,9
4,0.17391304347826086,"(-0.108, 0.0621]",-0.108,10
2,0.08695652173913043,"(0.0621, 0.232]",0.0621,11
1,0.043478260869565216,"(0.232, 0.402]",0.232,12
0,0.0,"(0.402, 0.572]",0.402,13
0,0.0,"(0.572, 0.742]",0.572,14
2,0.08695652173913043,"(0.742, 0.912]",0.742,15
1,0.043478260869565216,"(0.912, 1.082]",0.912,16
0,0.0,"(1.082, 1.252]",1.082,17
0,0.0,"(1.252, 1.423]",1.252,18
0,0.0,"(1.423, 1.593]",1.423,19
1,0.043478260869565216,"(1.593, 1.763]",1.593,20
