bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0625,"(-1.086, -0.974]",-1.086,1
0,0.0,"(-0.974, -0.863]",-0.974,2
0,0.0,"(-0.863, -0.751]",-0.863,3
1,0.0625,"(-0.751, -0.64]",-0.751,4
1,0.0625,"(-0.64, -0.528]",-0.64,5
1,0.0625,"(-0.528, -0.416]",-0.528,6
0,0.0,"(-0.416, -0.305]",-0.416,7
3,0.1875,"(-0.305, -0.193]",-0.305,8
1,0.0625,"(-0.193, -0.0813]",-0.193,9
3,0.1875,"(-0.0813, 0.0303]",-0.0813,10
2,0.125,"(0.0303, 0.142]",0.0303,11
1,0.0625,"(0.142, 0.254]",0.142,12
1,0.0625,"(0.254, 0.365]",0.254,13
0,0.0,"(0.365, 0.477]",0.365,14
0,0.0,"(0.477, 0.589]",0.477,15
0,0.0,"(0.589, 0.7]",0.589,16
0,0.0,"(0.7, 0.812]",0.7,17
0,0.0,"(0.812, 0.923]",0.812,18
0,0.0,"(0.923, 1.035]",0.923,19
1,0.0625,"(1.035, 1.147]",1.035,20
