bin_count,bin_freq,bin_range,bin_number
31,0.2743362831858407,"(-0.101, 0.161]",9
23,0.20353982300884957,"(-0.363, -0.101]",8
18,0.1592920353982301,"(0.161, 0.423]",10
10,0.08849557522123894,"(-0.625, -0.363]",7
6,0.05309734513274336,"(0.423, 0.685]",11
4,0.035398230088495575,"(1.209, 1.471]",14
4,0.035398230088495575,"(0.685, 0.947]",12
3,0.02654867256637168,"(-1.674, -1.412]",3
3,0.02654867256637168,"(-1.15, -0.887]",5
3,0.02654867256637168,"(-0.887, -0.625]",6
2,0.017699115044247787,"(-1.936, -1.674]",2
2,0.017699115044247787,"(-2.198, -1.936]",0
1,0.008849557522123894,"(2.519, 2.782]",13
1,0.008849557522123894,"(0.947, 1.209]",15
1,0.008849557522123894,"(1.471, 1.733]",1
1,0.008849557522123894,"(-2.46, -2.198]",19
0,0.0,"(2.257, 2.519]",18
0,0.0,"(-1.412, -1.15]",4
0,0.0,"(1.733, 1.995]",16
0,0.0,"(1.995, 2.257]",17
