bin_count,bin_freq,bin_range,x_value,bin_number
1,0.16666666666666666,"(-0.853, -0.684]",-0.853,1
1,0.16666666666666666,"(-0.684, -0.516]",-0.684,2
0,0.0,"(-0.516, -0.347]",-0.516,3
0,0.0,"(-0.347, -0.178]",-0.347,4
1,0.16666666666666666,"(-0.178, -0.00981]",-0.178,5
1,0.16666666666666666,"(-0.00981, 0.159]",-0.00981,6
0,0.0,"(0.159, 0.327]",0.159,7
0,0.0,"(0.327, 0.496]",0.327,8
0,0.0,"(0.496, 0.664]",0.496,9
0,0.0,"(0.664, 0.833]",0.664,10
0,0.0,"(0.833, 1.002]",0.833,11
0,0.0,"(1.002, 1.17]",1.002,12
0,0.0,"(1.17, 1.339]",1.17,13
0,0.0,"(1.339, 1.507]",1.339,14
0,0.0,"(1.507, 1.676]",1.507,15
1,0.16666666666666666,"(1.676, 1.844]",1.676,16
0,0.0,"(1.844, 2.013]",1.844,17
0,0.0,"(2.013, 2.181]",2.013,18
0,0.0,"(2.181, 2.35]",2.181,19
1,0.16666666666666666,"(2.35, 2.519]",2.35,20
