bin_count,bin_freq,bin_range,x_value,bin_number
1,0.09090909090909091,"(-0.417, -0.36]",-0.417,1
0,0.0,"(-0.36, -0.303]",-0.36,2
0,0.0,"(-0.303, -0.245]",-0.303,3
0,0.0,"(-0.245, -0.188]",-0.245,4
1,0.09090909090909091,"(-0.188, -0.131]",-0.188,5
1,0.09090909090909091,"(-0.131, -0.0732]",-0.131,6
1,0.09090909090909091,"(-0.0732, -0.0158]",-0.0732,7
1,0.09090909090909091,"(-0.0158, 0.0415]",-0.0158,8
1,0.09090909090909091,"(0.0415, 0.0989]",0.0415,9
1,0.09090909090909091,"(0.0989, 0.156]",0.0989,10
1,0.09090909090909091,"(0.156, 0.214]",0.156,11
0,0.0,"(0.214, 0.271]",0.214,12
0,0.0,"(0.271, 0.328]",0.271,13
0,0.0,"(0.328, 0.386]",0.328,14
0,0.0,"(0.386, 0.443]",0.386,15
1,0.09090909090909091,"(0.443, 0.5]",0.443,16
1,0.09090909090909091,"(0.5, 0.558]",0.5,17
0,0.0,"(0.558, 0.615]",0.558,18
0,0.0,"(0.615, 0.672]",0.615,19
1,0.09090909090909091,"(0.672, 0.73]",0.672,20
