bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0006321112515802782,"(-3.143, -2.889]",-3.143,1
1,0.0006321112515802782,"(-2.889, -2.635]",-2.889,2
0,0.0,"(-2.635, -2.381]",-2.635,3
1,0.0006321112515802782,"(-2.381, -2.126]",-2.381,4
4,0.0025284450063211127,"(-2.126, -1.872]",-2.126,5
7,0.004424778761061947,"(-1.872, -1.618]",-1.872,6
6,0.0037926675094816687,"(-1.618, -1.364]",-1.618,7
25,0.01580278128950695,"(-1.364, -1.11]",-1.364,8
26,0.01643489254108723,"(-1.11, -0.856]",-1.11,9
68,0.04298356510745891,"(-0.856, -0.602]",-0.856,10
130,0.08217446270543616,"(-0.602, -0.347]",-0.602,11
332,0.20986093552465235,"(-0.347, -0.0933]",-0.347,12
530,0.3350189633375474,"(-0.0933, 0.161]",-0.0933,13
234,0.14791403286978508,"(0.161, 0.415]",0.161,14
106,0.06700379266750948,"(0.415, 0.669]",0.415,15
58,0.03666245259165613,"(0.669, 0.923]",0.669,16
26,0.01643489254108723,"(0.923, 1.177]",0.923,17
17,0.010745891276864728,"(1.177, 1.432]",1.177,18
7,0.004424778761061947,"(1.432, 1.686]",1.432,19
3,0.0018963337547408343,"(1.686, 1.94]",1.686,20
