bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0037593984962406013,"(-1.957, -1.803]",-1.957,1
0,0.0,"(-1.803, -1.648]",-1.803,2
0,0.0,"(-1.648, -1.494]",-1.648,3
0,0.0,"(-1.494, -1.34]",-1.494,4
2,0.007518796992481203,"(-1.34, -1.185]",-1.34,5
3,0.011278195488721804,"(-1.185, -1.031]",-1.185,6
4,0.015037593984962405,"(-1.031, -0.877]",-1.031,7
4,0.015037593984962405,"(-0.877, -0.722]",-0.877,8
9,0.03383458646616541,"(-0.722, -0.568]",-0.722,9
13,0.04887218045112782,"(-0.568, -0.414]",-0.568,10
27,0.10150375939849623,"(-0.414, -0.26]",-0.414,11
36,0.13533834586466165,"(-0.26, -0.105]",-0.26,12
68,0.2556390977443609,"(-0.105, 0.0491]",-0.105,13
39,0.14661654135338345,"(0.0491, 0.203]",0.0491,14
27,0.10150375939849623,"(0.203, 0.358]",0.203,15
16,0.06015037593984962,"(0.358, 0.512]",0.358,16
8,0.03007518796992481,"(0.512, 0.666]",0.512,17
6,0.022556390977443608,"(0.666, 0.821]",0.666,18
1,0.0037593984962406013,"(0.821, 0.975]",0.821,19
2,0.007518796992481203,"(0.975, 1.129]",0.975,20
