bin_count,bin_freq,bin_range,bin_number
6,0.2,"(-0.254, -0.108]",7
5,0.16666666666666666,"(0.0384, 0.184]",9
4,0.13333333333333333,"(-0.108, 0.0384]",8
3,0.1,"(-0.692, -0.546]",4
3,0.1,"(-0.4, -0.254]",6
2,0.06666666666666667,"(-0.546, -0.4]",5
1,0.03333333333333333,"(0.184, 0.331]",10
1,0.03333333333333333,"(-0.984, -0.838]",2
1,0.03333333333333333,"(-0.838, -0.692]",3
1,0.03333333333333333,"(1.499, 1.645]",19
1,0.03333333333333333,"(0.331, 0.477]",11
1,0.03333333333333333,"(0.623, 0.769]",13
1,0.03333333333333333,"(1.353, 1.499]",0
0,0.0,"(0.477, 0.623]",18
0,0.0,"(0.769, 0.915]",12
0,0.0,"(0.915, 1.061]",14
0,0.0,"(1.061, 1.207]",15
0,0.0,"(1.207, 1.353]",16
0,0.0,"(-1.13, -0.984]",17
0,0.0,"(-1.276, -1.13]",1
