bin_count,bin_freq,bin_range,x_value,bin_number
2,0.002911208151382824,"(-1.899, -1.707]",-1.899,1
4,0.005822416302765648,"(-1.707, -1.515]",-1.707,2
2,0.002911208151382824,"(-1.515, -1.323]",-1.515,3
6,0.008733624454148471,"(-1.323, -1.131]",-1.323,4
8,0.011644832605531296,"(-1.131, -0.939]",-1.131,5
7,0.010189228529839884,"(-0.939, -0.747]",-0.939,6
24,0.034934497816593885,"(-0.747, -0.555]",-0.747,7
32,0.046579330422125184,"(-0.555, -0.363]",-0.555,8
85,0.12372634643377002,"(-0.363, -0.171]",-0.363,9
213,0.31004366812227074,"(-0.171, 0.0205]",-0.171,10
159,0.2314410480349345,"(0.0205, 0.212]",0.0205,11
73,0.10625909752547306,"(0.212, 0.404]",0.212,12
24,0.034934497816593885,"(0.404, 0.596]",0.404,13
17,0.024745269286754003,"(0.596, 0.788]",0.596,14
11,0.01601164483260553,"(0.788, 0.98]",0.788,15
7,0.010189228529839884,"(0.98, 1.172]",0.98,16
7,0.010189228529839884,"(1.172, 1.364]",1.172,17
2,0.002911208151382824,"(1.364, 1.556]",1.364,18
3,0.004366812227074236,"(1.556, 1.748]",1.556,19
1,0.001455604075691412,"(1.748, 1.94]",1.748,20
