bin_count,bin_freq,bin_range,x_value,bin_number
1,0.010869565217391304,"(-2.708, -2.501]",-2.708,1
0,0.0,"(-2.501, -2.294]",-2.501,2
0,0.0,"(-2.294, -2.087]",-2.294,3
0,0.0,"(-2.087, -1.881]",-2.087,4
0,0.0,"(-1.881, -1.674]",-1.881,5
0,0.0,"(-1.674, -1.467]",-1.674,6
0,0.0,"(-1.467, -1.26]",-1.467,7
0,0.0,"(-1.26, -1.053]",-1.26,8
4,0.043478260869565216,"(-1.053, -0.847]",-1.053,9
5,0.05434782608695652,"(-0.847, -0.64]",-0.847,10
4,0.043478260869565216,"(-0.64, -0.433]",-0.64,11
8,0.08695652173913043,"(-0.433, -0.226]",-0.433,12
20,0.21739130434782608,"(-0.226, -0.0194]",-0.226,13
15,0.16304347826086957,"(-0.0194, 0.187]",-0.0194,14
15,0.16304347826086957,"(0.187, 0.394]",0.187,15
10,0.10869565217391304,"(0.394, 0.601]",0.394,16
4,0.043478260869565216,"(0.601, 0.808]",0.601,17
1,0.010869565217391304,"(0.808, 1.015]",0.808,18
3,0.03260869565217391,"(1.015, 1.221]",1.015,19
2,0.021739130434782608,"(1.221, 1.428]",1.221,20
