bin_count,bin_freq,bin_range,x_value,bin_number
1,0.02,"(-1.635, -1.47]",-1.635,1
1,0.02,"(-1.47, -1.304]",-1.47,2
0,0.0,"(-1.304, -1.139]",-1.304,3
0,0.0,"(-1.139, -0.973]",-1.139,4
2,0.04,"(-0.973, -0.808]",-0.973,5
2,0.04,"(-0.808, -0.642]",-0.808,6
4,0.08,"(-0.642, -0.477]",-0.642,7
4,0.08,"(-0.477, -0.311]",-0.477,8
6,0.12,"(-0.311, -0.146]",-0.311,9
5,0.1,"(-0.146, 0.0198]",-0.146,10
12,0.24,"(0.0198, 0.185]",0.0198,11
3,0.06,"(0.185, 0.351]",0.185,12
2,0.04,"(0.351, 0.516]",0.351,13
3,0.06,"(0.516, 0.682]",0.516,14
0,0.0,"(0.682, 0.847]",0.682,15
0,0.0,"(0.847, 1.013]",0.847,16
0,0.0,"(1.013, 1.178]",1.013,17
1,0.02,"(1.178, 1.344]",1.178,18
3,0.06,"(1.344, 1.509]",1.344,19
1,0.02,"(1.509, 1.675]",1.509,20
