bin_count,bin_freq,bin_range,x_value,bin_number
1,0.005434782608695652,"(-2.166, -1.994]",-2.166,1
0,0.0,"(-1.994, -1.823]",-1.994,2
1,0.005434782608695652,"(-1.823, -1.651]",-1.823,3
1,0.005434782608695652,"(-1.651, -1.48]",-1.651,4
1,0.005434782608695652,"(-1.48, -1.308]",-1.48,5
1,0.005434782608695652,"(-1.308, -1.137]",-1.308,6
0,0.0,"(-1.137, -0.965]",-1.137,7
2,0.010869565217391304,"(-0.965, -0.794]",-0.965,8
10,0.05434782608695652,"(-0.794, -0.622]",-0.794,9
6,0.03260869565217391,"(-0.622, -0.451]",-0.622,10
15,0.08152173913043478,"(-0.451, -0.279]",-0.451,11
26,0.14130434782608695,"(-0.279, -0.108]",-0.279,12
58,0.31521739130434784,"(-0.108, 0.0635]",-0.108,13
28,0.15217391304347827,"(0.0635, 0.235]",0.0635,14
14,0.07608695652173914,"(0.235, 0.406]",0.235,15
8,0.043478260869565216,"(0.406, 0.578]",0.406,16
5,0.02717391304347826,"(0.578, 0.749]",0.578,17
4,0.021739130434782608,"(0.749, 0.921]",0.749,18
1,0.005434782608695652,"(0.921, 1.092]",0.921,19
2,0.010869565217391304,"(1.092, 1.264]",1.092,20
