bin_count,bin_freq,bin_range,x_value,bin_number
1,0.023255813953488372,"(-2.069, -1.881]",-2.069,1
1,0.023255813953488372,"(-1.881, -1.693]",-1.881,2
1,0.023255813953488372,"(-1.693, -1.505]",-1.693,3
0,0.0,"(-1.505, -1.317]",-1.505,4
0,0.0,"(-1.317, -1.129]",-1.317,5
0,0.0,"(-1.129, -0.941]",-1.129,6
2,0.046511627906976744,"(-0.941, -0.753]",-0.941,7
3,0.06976744186046512,"(-0.753, -0.565]",-0.753,8
6,0.13953488372093023,"(-0.565, -0.377]",-0.565,9
4,0.09302325581395349,"(-0.377, -0.189]",-0.377,10
9,0.20930232558139536,"(-0.189, -0.000606]",-0.189,11
5,0.11627906976744186,"(-0.000606, 0.187]",-0.000606,12
4,0.09302325581395349,"(0.187, 0.375]",0.187,13
3,0.06976744186046512,"(0.375, 0.564]",0.375,14
1,0.023255813953488372,"(0.564, 0.752]",0.564,15
1,0.023255813953488372,"(0.752, 0.94]",0.752,16
0,0.0,"(0.94, 1.128]",0.94,17
1,0.023255813953488372,"(1.128, 1.316]",1.128,18
0,0.0,"(1.316, 1.504]",1.316,19
1,0.023255813953488372,"(1.504, 1.692]",1.504,20
