bin_count,bin_freq,bin_range,bin_number
22,0.41509433962264153,"(-0.197, 0.18]",3
11,0.20754716981132076,"(0.18, 0.556]",4
6,0.11320754716981132,"(-0.574, -0.197]",2
4,0.07547169811320754,"(-0.95, -0.574]",0
4,0.07547169811320754,"(0.556, 0.933]",1
4,0.07547169811320754,"(-1.327, -0.95]",5
1,0.018867924528301886,"(0.933, 1.31]",6
1,0.018867924528301886,"(5.83, 6.207]",19
0,0.0,"(2.817, 3.193]",11
0,0.0,"(2.44, 2.817]",10
0,0.0,"(5.453, 5.83]",18
0,0.0,"(1.687, 2.063]",8
0,0.0,"(1.31, 1.687]",7
0,0.0,"(3.193, 3.57]",12
0,0.0,"(3.57, 3.947]",13
0,0.0,"(3.947, 4.323]",14
0,0.0,"(4.323, 4.7]",15
0,0.0,"(4.7, 5.077]",16
0,0.0,"(5.077, 5.453]",17
0,0.0,"(2.063, 2.44]",9
