bin_count,bin_freq,bin_range,x_value,bin_number
1,0.05555555555555555,"(-1.286, -1.089]",-1.286,1
0,0.0,"(-1.089, -0.891]",-1.089,2
1,0.05555555555555555,"(-0.891, -0.694]",-0.891,3
1,0.05555555555555555,"(-0.694, -0.497]",-0.694,4
1,0.05555555555555555,"(-0.497, -0.299]",-0.497,5
1,0.05555555555555555,"(-0.299, -0.102]",-0.299,6
1,0.05555555555555555,"(-0.102, 0.0958]",-0.102,7
4,0.2222222222222222,"(0.0958, 0.293]",0.0958,8
4,0.2222222222222222,"(0.293, 0.491]",0.293,9
2,0.1111111111111111,"(0.491, 0.688]",0.491,10
0,0.0,"(0.688, 0.886]",0.688,11
1,0.05555555555555555,"(0.886, 1.083]",0.886,12
0,0.0,"(1.083, 1.281]",1.083,13
0,0.0,"(1.281, 1.478]",1.281,14
0,0.0,"(1.478, 1.675]",1.478,15
0,0.0,"(1.675, 1.873]",1.675,16
0,0.0,"(1.873, 2.07]",1.873,17
0,0.0,"(2.07, 2.268]",2.07,18
0,0.0,"(2.268, 2.465]",2.268,19
1,0.05555555555555555,"(2.465, 2.663]",2.465,20
