bin_count,bin_freq,bin_range,bin_number
2,0.5,"(0.223, 0.266]",19
1,0.25,"(-0.509, -0.466]",2
1,0.25,"(0.18, 0.223]",0
0,0.0,"(-0.552, -0.509]",16
0,0.0,"(-0.466, -0.423]",7
0,0.0,"(-0.423, -0.38]",1
0,0.0,"(-0.38, -0.337]",17
0,0.0,"(-0.337, -0.294]",3
0,0.0,"(-0.294, -0.251]",4
0,0.0,"(-0.251, -0.208]",5
0,0.0,"(-0.208, -0.165]",6
0,0.0,"(-0.165, -0.122]",8
0,0.0,"(-0.122, -0.0786]",15
0,0.0,"(-0.0786, -0.0355]",18
0,0.0,"(-0.0355, 0.0075]",10
0,0.0,"(0.0075, 0.0505]",11
0,0.0,"(0.0505, 0.0936]",12
0,0.0,"(0.0936, 0.137]",13
0,0.0,"(0.137, 0.18]",14
0,0.0,"(-0.595, -0.552]",9
