bin_count,bin_freq,bin_range,bin_number
129,0.32169576059850374,"(-0.14, 0.0962]",12
80,0.19950124688279303,"(0.0962, 0.332]",13
60,0.14962593516209477,"(-0.376, -0.14]",11
38,0.09476309226932668,"(0.332, 0.569]",14
28,0.06982543640897755,"(-0.613, -0.376]",10
15,0.03740648379052369,"(0.569, 0.805]",15
13,0.032418952618453865,"(-0.849, -0.613]",9
12,0.029925187032418952,"(-1.085, -0.849]",8
4,0.00997506234413965,"(-2.503, -2.267]",2
4,0.00997506234413965,"(-1.321, -1.085]",7
4,0.00997506234413965,"(1.514, 1.75]",19
4,0.00997506234413965,"(0.805, 1.041]",16
2,0.004987531172069825,"(1.278, 1.514]",18
2,0.004987531172069825,"(-1.794, -1.558]",5
2,0.004987531172069825,"(1.041, 1.278]",17
1,0.0024937655860349127,"(-1.558, -1.321]",6
1,0.0024937655860349127,"(-2.03, -1.794]",4
1,0.0024937655860349127,"(-2.267, -2.03]",3
1,0.0024937655860349127,"(-2.739, -2.503]",0
0,0.0,"(-2.975, -2.739]",1
