bin_count,bin_freq,bin_range,x_value,bin_number
1,0.07142857142857142,"(-1.605, -1.437]",-1.605,1
0,0.0,"(-1.437, -1.27]",-1.437,2
0,0.0,"(-1.27, -1.103]",-1.27,3
0,0.0,"(-1.103, -0.936]",-1.103,4
1,0.07142857142857142,"(-0.936, -0.769]",-0.936,5
0,0.0,"(-0.769, -0.602]",-0.769,6
0,0.0,"(-0.602, -0.435]",-0.602,7
1,0.07142857142857142,"(-0.435, -0.267]",-0.435,8
1,0.07142857142857142,"(-0.267, -0.1]",-0.267,9
1,0.07142857142857142,"(-0.1, 0.0669]",-0.1,10
2,0.14285714285714285,"(0.0669, 0.234]",0.0669,11
2,0.14285714285714285,"(0.234, 0.401]",0.234,12
1,0.07142857142857142,"(0.401, 0.568]",0.401,13
1,0.07142857142857142,"(0.568, 0.736]",0.568,14
2,0.14285714285714285,"(0.736, 0.903]",0.736,15
0,0.0,"(0.903, 1.07]",0.903,16
0,0.0,"(1.07, 1.237]",1.07,17
0,0.0,"(1.237, 1.404]",1.237,18
0,0.0,"(1.404, 1.571]",1.404,19
1,0.07142857142857142,"(1.571, 1.738]",1.571,20
