bin_count,bin_freq,bin_range,bin_number
10,0.2702702702702703,"(-0.0189, 0.143]",14
8,0.21621621621621623,"(-0.18, -0.0189]",13
6,0.16216216216216217,"(-0.503, -0.342]",11
3,0.08108108108108109,"(0.143, 0.304]",15
2,0.05405405405405406,"(-0.826, -0.665]",9
2,0.05405405405405406,"(0.466, 0.627]",17
2,0.05405405405405406,"(-0.988, -0.826]",8
2,0.05405405405405406,"(0.627, 0.788]",18
1,0.02702702702702703,"(0.788, 0.95]",19
1,0.02702702702702703,"(-0.665, -0.503]",0
0,0.0,"(-0.342, -0.18]",10
0,0.0,"(0.304, 0.466]",12
0,0.0,"(-1.149, -0.988]",16
0,0.0,"(-1.311, -1.149]",7
0,0.0,"(-1.472, -1.311]",6
0,0.0,"(-1.634, -1.472]",5
0,0.0,"(-1.795, -1.634]",4
0,0.0,"(-1.957, -1.795]",3
0,0.0,"(-2.118, -1.957]",2
0,0.0,"(-2.28, -2.118]",1
