bin_count,bin_freq,bin_range,bin_number
18,0.20930232558139536,"(-0.204, -0.0254]",12
16,0.18604651162790697,"(-0.0254, 0.153]",13
12,0.13953488372093023,"(0.153, 0.332]",14
7,0.08139534883720931,"(-0.741, -0.562]",9
7,0.08139534883720931,"(-0.562, -0.383]",10
5,0.05813953488372093,"(0.332, 0.511]",15
4,0.046511627906976744,"(0.511, 0.69]",16
4,0.046511627906976744,"(0.869, 1.048]",18
3,0.03488372093023256,"(-0.383, -0.204]",11
2,0.023255813953488372,"(-1.277, -1.098]",6
2,0.023255813953488372,"(-1.456, -1.277]",5
2,0.023255813953488372,"(-1.098, -0.92]",7
1,0.011627906976744186,"(-1.993, -1.814]",2
1,0.011627906976744186,"(1.048, 1.226]",19
1,0.011627906976744186,"(-0.92, -0.741]",8
1,0.011627906976744186,"(-1.635, -1.456]",0
0,0.0,"(-1.814, -1.635]",4
0,0.0,"(0.69, 0.869]",3
0,0.0,"(-2.171, -1.993]",17
0,0.0,"(-2.35, -2.171]",1
