bin_count,bin_freq,bin_range,x_value,bin_number
1,0.16666666666666666,"(-0.495, -0.453]",-0.495,1
0,0.0,"(-0.453, -0.411]",-0.453,2
0,0.0,"(-0.411, -0.37]",-0.411,3
0,0.0,"(-0.37, -0.328]",-0.37,4
0,0.0,"(-0.328, -0.286]",-0.328,5
0,0.0,"(-0.286, -0.244]",-0.286,6
0,0.0,"(-0.244, -0.203]",-0.244,7
0,0.0,"(-0.203, -0.161]",-0.203,8
1,0.16666666666666666,"(-0.161, -0.119]",-0.161,9
1,0.16666666666666666,"(-0.119, -0.0774]",-0.119,10
0,0.0,"(-0.0774, -0.0357]",-0.0774,11
0,0.0,"(-0.0357, 0.00607]",-0.0357,12
0,0.0,"(0.00607, 0.0478]",0.00607,13
0,0.0,"(0.0478, 0.0895]",0.0478,14
0,0.0,"(0.0895, 0.131]",0.0895,15
0,0.0,"(0.131, 0.173]",0.131,16
0,0.0,"(0.173, 0.215]",0.173,17
0,0.0,"(0.215, 0.257]",0.215,18
2,0.3333333333333333,"(0.257, 0.298]",0.257,19
1,0.16666666666666666,"(0.298, 0.34]",0.298,20
