bin_count,bin_freq,bin_range,x_value,bin_number
1,0.1111111111111111,"(-1.037, -0.958]",-1.037,1
1,0.1111111111111111,"(-0.958, -0.879]",-0.958,2
0,0.0,"(-0.879, -0.8]",-0.879,3
0,0.0,"(-0.8, -0.721]",-0.8,4
1,0.1111111111111111,"(-0.721, -0.642]",-0.721,5
1,0.1111111111111111,"(-0.642, -0.562]",-0.642,6
0,0.0,"(-0.562, -0.483]",-0.562,7
0,0.0,"(-0.483, -0.404]",-0.483,8
0,0.0,"(-0.404, -0.325]",-0.404,9
0,0.0,"(-0.325, -0.246]",-0.325,10
1,0.1111111111111111,"(-0.246, -0.167]",-0.246,11
1,0.1111111111111111,"(-0.167, -0.0874]",-0.167,12
0,0.0,"(-0.0874, -0.00819]",-0.0874,13
0,0.0,"(-0.00819, 0.071]",-0.00819,14
0,0.0,"(0.071, 0.15]",0.071,15
0,0.0,"(0.15, 0.229]",0.15,16
1,0.1111111111111111,"(0.229, 0.308]",0.229,17
0,0.0,"(0.308, 0.388]",0.308,18
0,0.0,"(0.388, 0.467]",0.388,19
2,0.2222222222222222,"(0.467, 0.546]",0.467,20
