bin_count,bin_freq,bin_range,x_value,bin_number
2,0.038461538461538464,"(-2.77, -2.574]",-2.77,1
0,0.0,"(-2.574, -2.378]",-2.574,2
0,0.0,"(-2.378, -2.182]",-2.378,3
0,0.0,"(-2.182, -1.986]",-2.182,4
1,0.019230769230769232,"(-1.986, -1.79]",-1.986,5
0,0.0,"(-1.79, -1.594]",-1.79,6
2,0.038461538461538464,"(-1.594, -1.398]",-1.594,7
0,0.0,"(-1.398, -1.202]",-1.398,8
2,0.038461538461538464,"(-1.202, -1.006]",-1.202,9
3,0.057692307692307696,"(-1.006, -0.81]",-1.006,10
7,0.1346153846153846,"(-0.81, -0.614]",-0.81,11
2,0.038461538461538464,"(-0.614, -0.418]",-0.614,12
7,0.1346153846153846,"(-0.418, -0.222]",-0.418,13
3,0.057692307692307696,"(-0.222, -0.0262]",-0.222,14
9,0.17307692307692307,"(-0.0262, 0.17]",-0.0262,15
4,0.07692307692307693,"(0.17, 0.366]",0.17,16
3,0.057692307692307696,"(0.366, 0.562]",0.366,17
3,0.057692307692307696,"(0.562, 0.758]",0.562,18
2,0.038461538461538464,"(0.758, 0.954]",0.758,19
2,0.038461538461538464,"(0.954, 1.15]",0.954,20
