bin_count,bin_freq,bin_range,x_value,bin_number
1,0.07142857142857142,"(-0.733, -0.65]",-0.733,1
1,0.07142857142857142,"(-0.65, -0.567]",-0.65,2
2,0.14285714285714285,"(-0.567, -0.485]",-0.567,3
0,0.0,"(-0.485, -0.402]",-0.485,4
2,0.14285714285714285,"(-0.402, -0.319]",-0.402,5
1,0.07142857142857142,"(-0.319, -0.237]",-0.319,6
0,0.0,"(-0.237, -0.154]",-0.237,7
0,0.0,"(-0.154, -0.0711]",-0.154,8
0,0.0,"(-0.0711, 0.0116]",-0.0711,9
0,0.0,"(0.0116, 0.0944]",0.0116,10
1,0.07142857142857142,"(0.0944, 0.177]",0.0944,11
1,0.07142857142857142,"(0.177, 0.26]",0.177,12
0,0.0,"(0.26, 0.343]",0.26,13
2,0.14285714285714285,"(0.343, 0.425]",0.343,14
0,0.0,"(0.425, 0.508]",0.425,15
0,0.0,"(0.508, 0.591]",0.508,16
1,0.07142857142857142,"(0.591, 0.673]",0.591,17
1,0.07142857142857142,"(0.673, 0.756]",0.673,18
0,0.0,"(0.756, 0.839]",0.756,19
1,0.07142857142857142,"(0.839, 0.922]",0.839,20
