bin_count,bin_freq,bin_range,x_value,bin_number
1,0.015151515151515152,"(-1.594, -1.467]",-1.594,1
0,0.0,"(-1.467, -1.34]",-1.467,2
0,0.0,"(-1.34, -1.213]",-1.34,3
0,0.0,"(-1.213, -1.085]",-1.213,4
0,0.0,"(-1.085, -0.958]",-1.085,5
3,0.045454545454545456,"(-0.958, -0.831]",-0.958,6
3,0.045454545454545456,"(-0.831, -0.704]",-0.831,7
0,0.0,"(-0.704, -0.577]",-0.704,8
5,0.07575757575757576,"(-0.577, -0.45]",-0.577,9
6,0.09090909090909091,"(-0.45, -0.323]",-0.45,10
10,0.15151515151515152,"(-0.323, -0.196]",-0.323,11
5,0.07575757575757576,"(-0.196, -0.0688]",-0.196,12
8,0.12121212121212122,"(-0.0688, 0.0583]",-0.0688,13
7,0.10606060606060606,"(0.0583, 0.185]",0.0583,14
7,0.10606060606060606,"(0.185, 0.312]",0.185,15
3,0.045454545454545456,"(0.312, 0.439]",0.312,16
1,0.015151515151515152,"(0.439, 0.567]",0.439,17
4,0.06060606060606061,"(0.567, 0.694]",0.567,18
1,0.015151515151515152,"(0.694, 0.821]",0.694,19
2,0.030303030303030304,"(0.821, 0.948]",0.821,20
