bin_count,bin_freq,bin_range,x_value,bin_number
1,0.030303030303030304,"(-0.885, -0.793]",-0.885,1
1,0.030303030303030304,"(-0.793, -0.702]",-0.793,2
0,0.0,"(-0.702, -0.61]",-0.702,3
2,0.06060606060606061,"(-0.61, -0.518]",-0.61,4
0,0.0,"(-0.518, -0.427]",-0.518,5
2,0.06060606060606061,"(-0.427, -0.335]",-0.427,6
3,0.09090909090909091,"(-0.335, -0.243]",-0.335,7
6,0.18181818181818182,"(-0.243, -0.152]",-0.243,8
3,0.09090909090909091,"(-0.152, -0.0601]",-0.152,9
1,0.030303030303030304,"(-0.0601, 0.0315]",-0.0601,10
6,0.18181818181818182,"(0.0315, 0.123]",0.0315,11
1,0.030303030303030304,"(0.123, 0.215]",0.123,12
2,0.06060606060606061,"(0.215, 0.306]",0.215,13
0,0.0,"(0.306, 0.398]",0.306,14
0,0.0,"(0.398, 0.49]",0.398,15
1,0.030303030303030304,"(0.49, 0.581]",0.49,16
2,0.06060606060606061,"(0.581, 0.673]",0.581,17
1,0.030303030303030304,"(0.673, 0.765]",0.673,18
0,0.0,"(0.765, 0.856]",0.765,19
1,0.030303030303030304,"(0.856, 0.948]",0.856,20
